
Interface: 10.54.146.129 --- 0xa
  Internet Address      Physical Address      Type
  10.54.0.1             00-50-56-98-c7-8e     dynamic   
  10.54.19.219          92-f3-30-cc-dc-77     dynamic   
  10.54.165.83          1c-79-2d-3c-6d-50     dynamic   
  10.54.167.158         e2-ea-c4-9c-df-3b     dynamic   
  10.54.204.178         0e-d8-80-4f-f6-5c     dynamic   
  10.54.249.240         92-f3-30-cc-dc-77     static    
  10.54.255.255         ff-ff-ff-ff-ff-ff     static    
  224.0.0.2             01-00-5e-00-00-02     static    
  224.0.0.22            01-00-5e-00-00-16     static    
  224.0.0.251           01-00-5e-00-00-fb     static    
  224.0.0.252           01-00-5e-00-00-fc     static    
  239.255.255.250       01-00-5e-7f-ff-fa     static    
