Tracing route to 8.8.8.8 over a maximum of 30 hops

  1     1 ms     1 ms     1 ms  192.168.31.1 
  2     6 ms     3 ms     2 ms  172.19.63.252 
  3     5 ms     2 ms     2 ms  10.200.40.9 
  4     5 ms     2 ms     2 ms  10.200.40.10 
  5     5 ms     3 ms     3 ms  176.213.132.18 
  6    13 ms    13 ms     7 ms  72.14.215.165 
  7     *       17 ms     *     188.234.131.225 
  8     *        *       13 ms  216.239.49.19 
  9    16 ms    16 ms    17 ms  192.178.241.234 
 10     *       24 ms    24 ms  142.251.238.82 
 11    26 ms    23 ms    23 ms  142.251.238.66 
 12    23 ms    24 ms    24 ms  142.250.210.45 
 13     *        *        *     Request timed out.
 14     *        *        *     Request timed out.
 15     *        *        *     Request timed out.
 16     *        *        *     Request timed out.
 17     *        *        *     Request timed out.
 18     *        *        *     Request timed out.
 19     *        *        *     Request timed out.
 20     *        *        *     Request timed out.
 21     *        *        *     Request timed out.
 22     *        *        *     Request timed out.
 23     *        *        *     Request timed out.
 24    23 ms    23 ms    22 ms  8.8.8.8 

Trace complete.
